English,Russian,French
a,,une
abandon,покидать,abandonner
ability,способность,capacité
able,способный,pouvoir
abortion,аборт,Avortement
about,о,à propos de
above,выше,dessus
abroad,за границу,à l'étranger
absence,отсутствие,absence
absolute,абсолютный,absolu
absolutely,абсолютно,Tout à fait
absorb,абсорбировать,absorber
abuse,злоупотреблять,abuser de
academic,академический,académique
accept,принимать,J'accepte
access,доступ,accès
accident,несчастный случай,accident
accompany,сопровождать,accompagner
accomplish,выполнить,accomplir
according,в соответствии,selon
account,учетная запись,Compte
accurate,точный,exact
accuse,обвинять,accuser
achieve,достигать,réaliser
achievement,достижение,réussite
acid,кислота,acide
acknowledge,сознавать,accuser réception
acquire,приобретать,acquérir
across,через,de l'autre côté
act,действовать,acte
action,действие,action
active,активный,actif
activist,активист,activiste
activity,Мероприятия,activité
actor,актер,acteur
actress,актриса,actrice
actual,действительный,réel
actually,фактически,en fait
ad,объявление,un d
adapt,адаптироваться,adapter
add,Добавлять,ajouter
addition,добавление,une addition
additional,дополнительный,Additionnel
address,адрес,adresse
adequate,адекватный,adéquat
adjust,регулировать,régler
adjustment,корректирование,ajustement
administration,администрация,administration
administrator,администратор,administrateur
admire,восхищаться,admirer
admission,допуск,admission
admit,признавать,admettre
adolescent,подросток,adolescente
adopt,усыновить,adopter
adult,для взрослых,adulte
advance,продвигать,avance
advanced,передовой,Avancée
advantage,преимущество,avantage
adventure,приключение,aventure
advertising,Реклама,La publicité
advice,совет,conseils
advise,советовать,conseiller
adviser,консультант,conseiller
advocate,адвокат,avocat
affair,Роман,affaire
affect,оказывать воздействие,affecter
afford,предоставлять,s'offrir
afraid,боюсь,effrayé
African,африканец,africain
African-American,Афроамериканец,Afro-américain
after,после,après
afternoon,после полудня,après midi
again,очередной раз,de nouveau
against,против,contre
age,возраст,âge
agency,агентство,agence
agenda,повестка дня,ordre du jour
agent,агент,agent
aggressive,агрессивный,agressif
ago,тому назад,depuis
agree,дать согласие,Je suis d'accord
agreement,соглашение,accord
agricultural,сельскохозяйственное,agricole
ah,ах,ah
ahead,предстоящий,en avant
aid,помогать,aide
aide,помощник,aide
AIDS,СПИД,sida
aim,цель,objectif
air,воздуха,air
aircraft,самолет,avion
airline,авиакомпания,Compagnie aérienne
airport,аэропорт,aéroport
album,альбом,album
alcohol,алкоголь,de l'alcool
alive,живой,vivant
all,все,tout
alliance,союз,Alliance
allow,позволять,Autoriser
ally,союзник,allié
almost,почти,presque
alone,один,seule
along,вдоль,le long de
already,уже,déjà
also,также,également
alter,альтер,modifier
alternative,альтернатива,alternative
although,хотя,même si
always,всегда,toujours
am,являюсь,un m
amazing,удивительный,étonnante
American,американский,américain
among,среди,parmi
amount,количество,montant
analysis,анализ,Analyse
analyst,аналитик,analyste
analyze,анализировать,analyser
ancient,древний,ancien
and,а также,et
anger,злость,colère
angle,угол,angle
angry,сердитый,en colère
animal,животное,animal
anniversary,Годовщина,anniversaire
announce,анонсировать,annoncer
annual,ежегодный,annuel
another,Другой,une autre
answer,отвечать,répondre
anticipate,предвидеть,anticiper
anxiety,беспокойство,anxiété
any,любой,quelconque
anybody,кто-нибудь,n'importe qui
anymore,больше,plus
anyone,кто-нибудь,personne
anything,что-нибудь,n'importe quoi
anyway,в любом случае,en tous cas
anywhere,в любом месте,partout
apart,отдельно,une part
apartment,квартира,appartement
apparent,очевидный,apparent
